,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
531,80,Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99000.0
532,147,Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14000.0
533,195,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49000.0
534,639,Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4400.0
535,45,Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380000.0
536,518,Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160000.0
537,586,Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22000.0
538,546,Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37000.0
539,516,L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8000.0
540,750,"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6300.0
541,654,Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17000.0
542,577,Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34000.0
543,656,Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16000.0
544,61,Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220000.0
545,755,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5900.0
546,433,Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16000.0
547,155,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43000.0
548,786,Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22000.0
549,394,Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78000.0
550,271,Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52000.0
551,172,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120000.0
552,360,Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39000.0
553,74,Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160000.0
554,112,Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80000.0
555,260,Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180000.0
556,311,Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120000.0
557,90,Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68000.0
558,839,Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7200.0
559,541,Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10000.0
560,699,Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23000.0
561,843,Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29000.0
562,769,Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14000.0
563,181,Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290000.0
564,6,Machine Learning,Stanford University,COURSE,4.9,Mixed,3200000.0
565,831,Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240000.0
566,352,Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29000.0
567,585,Machine Learning for All,University of London,COURSE,4.6,Beginner,19000.0
568,264,Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58000.0
569,178,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15000.0
570,321,Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120000.0
571,125,Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72000.0
572,791,Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78000.0
573,435,Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43000.0
574,73,Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120000.0
575,467,Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11000.0
576,409,Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55000.0
577,91,Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23000.0
578,556,Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71000.0
579,558,Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27000.0
580,796,Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47000.0
581,380,Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22000.0
582,241,Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81000.0
583,325,Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39000.0
584,449,Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49000.0
585,140,Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93000.0
586,211,Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57000.0
587,669,Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58000.0
588,367,Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60000.0
589,310,Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310000.0
590,550,Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280000.0
591,575,Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8400.0
592,563,Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52000.0
593,840,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48000.0
594,480,Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12000.0
595,55,Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150000.0
596,223,Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140000.0
597,528,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51000.0
598,873,Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33000.0
599,335,Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4800.0
600,214,Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170000.0
